id,region,start,end,strand
154,chr2,157061835,157062113,
155,chr7,60920498,60920797,
156,chr1,168932665,168932872,
157,chr16,67068426,67068734,
158,chr3,37686353,37686498,
159,chr9,84538885,84539172,
160,chr1,185139361,185139564,
161,chr2,41881318,41881622,
162,chr4,153987300,153987857,
163,chr9,91170949,91171217,
164,chr20,12111124,12111329,
165,chr2,191001053,191001442,
166,chr5,107853710,107854147,
167,chr1,54982773,54983314,
168,chr1,25957706,25957976,
169,chr16,11661254,11661568,
170,chr3,191879861,191880163,
171,chr8,59654081,59654443,
172,chr3,99474733,99475178,
173,chr6,84442316,84442573,
174,chr9,3995572,3995879,
175,chr1,33638099,33638421,
176,chr13,39789354,39789808,
177,chr12,125725651,125725866,
178,chr3,77618727,77619065,
179,chr2,121711526,121711735,
180,chr8,24662412,24662757,
181,chr3,134525242,134525513,
182,chr21,9348567,9348850,
183,chr12,86148040,86148449,
184,chr11,71476542,71476710,
185,chr5,80785545,80785686,
186,chr6,136831977,136832222,
187,chr9,73076821,73077042,
188,chr17,57638225,57638674,
189,chr2,170566136,170566478,
190,chr11,102643908,102644248,
191,chrX,55030824,55031244,
192,chr1,232872847,232873133,
193,chr5,16409341,16409557,
194,chr7,35492748,35493252,
195,chr7,130822552,130823024,
196,chr3,170492004,170492234,
197,chr8,18372976,18373418,
198,chr1,68301454,68301986,
199,chr13,26724504,26724781,
200,chr20,36717743,36717928,
201,chr4,4919913,4920388,
202,chr10,26593979,26594281,
203,chr1,145525759,145525985,
204,chr2,238360461,238360664,
205,chr2,129575509,129575867,
206,chr2,35160887,35161358,
207,chr18,62101305,62101578,
208,chrX,50903734,50904002,
209,chr9,26744473,26744820,
210,chr9,96867588,96867850,
211,chrX,138684937,138685254,
212,chr6,76496054,76496331,
213,chr4,37157416,37157842,
214,chr3,29915093,29915547,
215,chr10,44795681,44795962,
216,chr10,14926116,14926541,
217,chr10,10508186,10508777,
218,chr5,39482093,39482502,
219,chr5,113086715,113086978,
220,chr2,152970410,152970711,
221,chr3,155431797,155432247,
222,chr19,43658153,43658367,
223,chr7,141268584,141269093,
224,chr5,2277315,2277499,
225,chr7,68107917,68108403,
226,chr12,26979943,26980234,
227,chr1,70811685,70812266,
228,chr18,59344011,59344290,
229,chr17,58719922,58720023,
230,chr14,102325948,102326305,
231,chr6,20678910,20679265,
232,chr14,31974175,31974410,
233,chr4,103111615,103112046,
234,chr3,53067604,53067817,
235,chr16,74453203,74453430,
236,chr18,53952803,53953065,
237,chr10,29506554,29506784,
238,chr8,26357581,26357914,
239,chr8,103289623,103289850,
240,chr8,29911773,29912021,
241,chr4,7727804,7728098,
242,chr8,75992115,75992506,
243,chr3,194562943,194563356,
244,chr3,162540514,162540799,
245,chr2,121429356,121429701,
246,chr15,44163438,44163775,
247,chr7,68576368,68576672,
248,chr1,106680126,106680603,
249,chr3,143956867,143957307,
250,chr2,133956576,133956717,
251,chr21,17497390,17497731,
252,chr5,145141623,145141847,
253,chr13,92710571,92710761,
254,chr15,50848431,50848627,
255,chrX,113759581,113759720,
256,chr13,74641442,74642010,
257,chr1,221921963,221922454,
258,chr14,104775860,104776288,
259,chr9,5357510,5358095,
260,chr2,165896100,165896266,
261,chr1,176814464,176814727,
262,chr1,171180724,171180958,
263,chr6,78744234,78744411,
264,chr8,111243550,111243912,
265,chr12,107235174,107235501,
266,chr10,66709959,66710135,
267,chr2,45297960,45298253,
268,chr12,7153987,7154505,
269,chr7,129446912,129447303,
270,chr22,37690854,37691353,
271,chr15,54289663,54289857,
272,chr13,23327539,23328070,
273,chr4,54098345,54098723,
274,chr18,12299007,12299394,
275,chr8,69617170,69617477,
276,chr3,114115160,114115561,
277,chr2,138924055,138924386,
278,chr8,87231348,87231671,
279,chr5,81064514,81064964,
280,chr2,111997436,111997814,
281,chr1,207149791,207149902,
282,chr7,58108556,58108830,
283,chr1,47109481,47109754,
284,chr3,16403606,16403925,
285,chrX,127888732,127889118,
286,chr2,225288937,225289425,
287,chr7,40965729,40966074,
288,chr3,175397344,175397717,
289,chr19,48524740,48525139,
290,chrX,153747095,153747279,
291,chr1,83332338,83332692,
292,chr2,94258126,94258455,
293,chr15,28859939,28860186,
294,chr4,138510079,138510542,
295,chr13,66306270,66306560,
296,chr7,152240198,152240486,
297,chr16,50802017,50802288,
298,chr8,12215718,12215909,
299,chr3,28969538,28969709,
300,chr3,73680753,73680977,
301,chr3,106018195,106018413,
302,chr8,24670299,24670482,
303,chr2,240348541,240348821,
304,chr20,47067835,47068020,
305,chr1,188303983,188304307,
306,chr19,47201077,47201441,
307,chr3,72694584,72694849,
308,chr20,20365049,20365520,
309,chr6,121466327,121466623,
310,chr6,76168296,76168543,
311,chr15,89428177,89428708,
312,chr15,28808162,28808535,
313,chr11,120151495,120151994,
314,chr2,226098973,226099566,
315,chr14,21980426,21980580,
316,chr21,44531918,44532146,
317,chr15,28881720,28881987,
318,chr20,10125740,10126143,
319,chr5,2259438,2259868,
320,chr16,17585642,17586136,
321,chr2,65518823,65519123,
322,chr1,64635037,64635319,
323,chr15,33467815,33468180,
324,chr2,63700292,63700653,
325,chr6,151753625,151753997,
326,chr18,61435019,61435393,
327,chr5,149362276,149362554,
328,chr3,190296846,190297249,
329,chr5,133945453,133945925,
330,chr4,150278152,150278626,
331,chr17,16842313,16842800,
332,chr17,15220785,15221231,
333,chrX,47878295,47878550,
334,chr7,140594346,140594756,
335,chr1,216714824,216715405,
336,chr1,58612095,58612331,
337,chr10,2119370,2119710,
338,chr1,33949025,33949449,
339,chr9,90741094,90741383,
340,chr6,123323410,123323795,
341,chr1,39589490,39589815,
342,chr12,13421797,13421977,
343,chr2,184463457,184463737,
344,chr6,89314842,89315418,
345,chr2,43677282,43677545,
346,chr1,102585968,102586505,
347,chr4,132101547,132101913,
348,chr4,142778446,142778794,
349,chr3,52600292,52600624,
350,chr12,76201735,76202040,
351,chr4,80903067,80903375,
352,chr2,33383881,33384301,
353,chr4,125481671,125482045,
354,chr11,129608716,129609154,
355,chr12,120577197,120577525,
356,chr5,42309915,42310187,
357,chr7,120547606,120547897,
358,chr3,164174163,164174399,
359,chr3,101292087,101292302,
360,chr2,142707321,142707882,
361,chr12,124230895,124231025,
362,chr11,127825192,127825611,
363,chr12,85126007,85126339,
364,chr1,84744950,84745325,
365,chr11,2854093,2854306,
366,chr4,64538254,64538536,
367,chr2,1808995,1809408,
368,chr13,35309082,35309440,
369,chr5,7548745,7549047,
370,chr19,34416162,34416582,
371,chr5,53265042,53265439,
372,chr3,165954085,165954487,
373,chr5,164461207,164461463,
374,chr13,38328690,38328981,
375,chr22,46165988,46166326,
376,chrX,13852403,13852555,
377,chr8,121062451,121062868,
378,chr11,116665507,116665766,
379,chr11,21948877,21949234,
380,chrX,144658267,144658543,
381,chr5,84016665,84017175,
382,chr1,50193086,50193310,
383,chr10,14086609,14086967,
384,chr8,49302608,49303027,
385,chr3,75861650,75861958,
386,chr7,110962856,110963257,
387,chr13,70612888,70613232,
388,chr10,15262827,15263210,
389,chr2,193231682,193231944,
390,chr4,121421665,121421997,
391,chr11,30125381,30125857,
392,chr1,50123063,50123415,
393,chr4,14914568,14914698,
394,chr2,85984288,85984598,
395,chr5,146304125,146304328,
396,chr4,8726429,8726817,
397,chr4,89545398,89545620,
398,chr21,22440709,22440991,
399,chr7,122199878,122200069,
400,chr11,38356334,38356523,
401,chr5,125525407,125525684,
402,chr22,38358055,38358317,
403,chr14,26199533,26199963,
404,chr6,86038308,86038647,
405,chr5,164893232,164893477,
406,chr13,52535269,52535543,
407,chr18,55836428,55836966,
408,chr2,41435040,41435297,
409,chrX,70999115,70999525,
410,chr2,122543810,122544151,
411,chr3,46027333,46027730,
412,chr10,69256296,69256534,
413,chr14,98144957,98145369,
414,chr4,90579245,90579490,
415,chr8,107134738,107135015,
416,chr15,98121517,98121863,
417,chr2,66849475,66849774,
418,chr6,43211073,43211274,
419,chr20,19430253,19430772,
420,chr5,74357817,74358267,
421,chr2,108919167,108919636,
422,chr11,115653108,115653452,
423,chr5,149707617,149707899,
424,chr5,5645791,5646317,
425,chr4,79467539,79467921,
426,chr1,214335495,214335806,
427,chr9,62395495,62395879,
428,chr3,123531330,123531710,
429,chr13,22252442,22252740,
430,chr4,24845971,24846308,
431,chr20,16668016,16668316,
432,chr10,133047770,133048252,
433,chr11,79671392,79671613,
434,chr1,76835119,76835569,
435,chr7,137417539,137417809,
436,chr5,168015501,168015864,
437,chr2,11102404,11102869,
438,chr17,44847663,44847994,
439,chr6,61052887,61053197,
440,chr13,38809118,38809364,
441,chr6,4496210,4496651,
442,chr2,106108324,106108731,
443,chr14,64535818,64536058,
444,chr8,38968428,38968891,
445,chr4,124961263,124961385,
446,chr7,106254767,106255251,
447,chr12,110847683,110847941,
448,chr11,41494783,41495102,
449,chr2,52877702,52878052,
450,chr11,19594324,19594737,
451,chr22,23273497,23273793,
452,chr3,26800017,26800216,
453,chr10,133769133,133769428,
454,chr13,26664956,26665269,
455,chr4,107290640,107291026,
456,chr18,43961864,43962090,
457,chr15,88928196,88928547,
458,chr9,107467528,107467773,
459,chr5,26366473,26366653,
460,chrX,85705520,85705812,
461,chr9,31089839,31090300,
462,chr6,122878897,122879191,
463,chr16,72443853,72444218,
464,chr3,102851209,102851728,
465,chr3,143608882,143609475,
466,chr20,43322935,43323160,
467,chr3,131205402,131205866,
468,chr12,72029079,72029327,
469,chr4,44918230,44918490,
470,chr7,13117271,13117569,
471,chr2,77045578,77045759,
472,chr4,91337962,91338235,
473,chr1,248366719,248366943,
474,chr14,20443407,20443662,
475,chr1,183753422,183753913,
476,chr18,61396388,61396631,
477,chr19,7594218,7594384,
478,chr17,71364493,71365069,
479,chr8,129140725,129141201,
480,chr11,26442040,26442597,
481,chr2,142395310,142395659,
482,chr15,86797279,86797750,
483,chr21,35309368,35309744,
484,chr12,78352607,78352808,
485,chr9,25302067,25302387,
486,chr17,43425648,43425836,
487,chr21,27608859,27609090,
488,chr12,25644971,25645367,
489,chr3,78830479,78830850,
490,chr7,114791805,114792331,
491,chr5,98587208,98587546,
492,chr7,45711653,45711800,
493,chr2,113465687,113466266,
494,chr2,137499618,137499944,
495,chrX,140799265,140799607,
496,chr4,149095744,149096141,
497,chr4,20086142,20086408,
498,chr10,18545749,18545869,
499,chr5,27320269,27320428,
500,chr11,42462981,42463331,
501,chrX,17594118,17594323,
502,chr4,67126682,67126849,
503,chr1,41599967,41600263,
504,chr17,62035701,62035968,
505,chr12,100254863,100255259,
506,chr8,41257280,41257527,
507,chr6,116096151,116096417,
508,chr3,66350588,66351002,
509,chr12,5733059,5733493,
510,chr3,77746877,77747289,
511,chr3,77939706,77940161,
512,chr6,106579302,106579630,
513,chr2,106007684,106007899,
514,chr3,5479957,5480173,
515,chr2,85151027,85151495,
516,chr2,216568584,216568987,
517,chr22,33591198,33591562,
518,chr21,26523352,26523586,
519,chr13,86706433,86706763,
520,chr15,44596165,44596639,
521,chr7,125645790,125646186,
522,chr13,65606594,65606869,
523,chr14,34639522,34639764,
524,chr10,53331208,53331786,
525,chr20,1987884,1988151,
526,chr12,126355380,126355696,
527,chr3,91352216,91352545,
528,chr15,73909661,73910007,
529,chr9,4346147,4346402,
530,chr10,15140023,15140298,
531,chr16,54326312,54326614,
532,chr12,53468701,53468894,
533,chr2,182164688,182164851,
534,chr17,60122152,60122685,
535,chr6,85347793,85348237,
536,chr8,115600435,115600760,
537,chr8,59149787,59150046,
538,chr7,89332173,89332393,
539,chr20,56868483,56868877,
540,chr11,59944082,59944341,
541,chr5,77992701,77992906,
542,chr4,8571090,8571430,
543,chr13,111950805,111950955,
544,chr10,36383267,36383738,
545,chr9,78520766,78520977,
546,chr19,14882805,14883214,
547,chr7,151981343,151981926,
548,chrX,84170935,84171347,
549,chrX,101066642,101066950,
550,chr5,102226407,102226694,
551,chr9,118882727,118883138,
552,chr9,21949695,21950030,
553,chr2,221965372,221965739,
554,chr3,119221804,119222262,
555,chr9,136305530,136305939,
556,chr14,42401037,42401284,
557,chr8,99408854,99409233,
558,chr11,129412570,129412833,
559,chr12,90829155,90829403,
560,chr6,115753461,115753808,
561,chr18,42950777,42951033,
562,chr4,112852601,112853172,
563,chr11,22778654,22778960,
564,chr9,101995192,101995686,
565,chr3,6994285,6994622,
566,chr12,84793586,84793950,
567,chr7,22195494,22195744,
568,chrX,131082387,131082643,
569,chr2,131237203,131237511,
570,chr18,52272069,52272186,
571,chr4,25054805,25054965,
572,chr4,169990417,169990843,
573,chrX,36445583,36445833,
574,chr11,69179209,69179374,
575,chr13,110214729,110214995,
576,chr8,99853118,99853396,
577,chr9,38654565,38654893,
578,chr3,170606555,170607145,
579,chr8,101693351,101693634,
580,chr9,98897833,98898104,
581,chr13,84647062,84647338,
582,chr18,24500806,24501147,
583,chrX,147226591,147226715,
584,chr17,39331475,39331653,
585,chr18,6398411,6398581,
586,chr11,1226888,1227262,
587,chr4,127179529,127179811,
588,chr2,132475744,132475945,
589,chr9,115921167,115921683,
590,chr2,48559282,48559532,
591,chr5,173998968,173999157,
592,chr11,32939180,32939357,
593,chr9,13118345,13118597,
594,chr5,142533136,142533474,
595,chr6,66849931,66850269,
596,chr14,91927265,91927606,
597,chr13,60282809,60283070,
598,chr13,48797211,48797484,
599,chr10,103066407,103066767,
600,chr8,50052868,50053314,
601,chr14,102583089,102583374,
602,chr3,184419202,184419678,
603,chr4,124804498,124805047,
604,chr3,108994089,108994345,
605,chr13,47413107,47413472,
606,chr1,22951858,22952079,
607,chr8,99927661,99927917,
608,chr13,83220226,83220602,
609,chr8,86755222,86755515,
610,chr13,53249266,53249559,
611,chr8,28793461,28793622,
612,chr7,40698268,40698579,
613,chr21,24110812,24111227,
614,chr7,18702522,18702911,
615,chr2,206987010,206987308,
616,chr6,75409886,75410440,
617,chr3,37295981,37296251,
618,chr21,46040960,46041281,
619,chr10,111488731,111488898,
620,chr3,97559475,97559747,
621,chr6,6251918,6252261,
622,chrX,151192705,151192859,
623,chr6,96742814,96743049,
624,chr5,29654245,29654455,
625,chr2,70513653,70513937,
626,chr10,12478648,12479203,
627,chr17,30278069,30278439,
628,chr2,225842981,225843379,
629,chr10,38589999,38590360,
630,chr2,232505885,232506279,
631,chr4,177723167,177723618,
632,chrX,128460881,128461206,
633,chr4,24024660,24024992,
634,chr3,142940530,142940852,
635,chr18,59667523,59667853,
636,chr4,171162444,171162777,
637,chr5,66074894,66075356,
638,chr3,165532877,165533063,
639,chr19,57438049,57438334,
640,chr13,65195404,65195554,
641,chr5,164353720,164354008,
642,chrX,12234917,12235396,
643,chr4,160417226,160417528,
644,chr6,156170257,156170426,
645,chr10,64007170,64007485,
646,chr1,34934481,34934787,
647,chr4,24922439,24922779,
648,chr5,64622190,64622602,
649,chr10,109208547,109208788,
650,chr7,142954842,142955169,
651,chr19,15363807,15364106,
652,chr5,3747592,3747820,
653,chr14,51232293,51232670,
654,chr1,16787765,16788039,
655,chr7,25361928,25362213,
656,chr13,55227591,55227861,
657,chrX,3581701,3582140,
658,chr7,29873670,29873985,
659,chr15,101378129,101378618,
660,chr7,86733853,86734126,
661,chr10,104548231,104548455,
662,chr1,240351772,240351955,
663,chr6,41594267,41594764,
664,chr12,130584540,130584758,
665,chr3,115417134,115417414,
666,chr13,74562383,74562743,
667,chr2,25521219,25521470,
668,chr4,47772158,47772485,
669,chr10,21742903,21743265,
670,chr15,81152481,81152630,
671,chr15,39545410,39545683,
672,chr4,181860205,181860569,
673,chr1,177857408,177857656,
674,chr7,148859552,148860000,
675,chr15,77790458,77790865,
676,chr1,233230055,233230364,
677,chrX,9231641,9231946,
678,chr5,133634993,133635482,
679,chr1,41400210,41400567,
680,chr7,86833356,86833750,
681,chr9,94610510,94610657,
682,chr7,104850469,104850822,
683,chrX,108410846,108411286,
684,chr1,19101195,19101693,
685,chr1,229364195,229364709,
686,chr4,12108669,12108884,
687,chr2,7734205,7734483,
688,chr11,178179,178412,
689,chr18,32153168,32153342,
690,chr22,24416066,24416432,
691,chr17,12720024,12720480,
692,chr2,175753774,175754349,
693,chr7,18936271,18936714,
694,chrX,54087584,54088137,
695,chr10,102637968,102638208,
696,chr8,90748661,90748936,
697,chr2,168351223,168351471,
698,chr2,150710946,150711296,
699,chr18,49884995,49885367,
700,chr2,166637845,166638051,
701,chr1,62589414,62589703,
702,chr6,158589485,158589785,
703,chr2,150866378,150866838,
704,chr7,15104767,15105232,
705,chr19,39472153,39472559,
706,chr4,175369149,175369427,
707,chr1,213186238,213186583,
708,chr7,8404154,8404436,
709,chr2,44348380,44348765,
710,chr1,181588582,181589080,
711,chr7,124550015,124550434,
712,chr17,80204567,80204997,
713,chr12,121099896,121100052,
714,chr10,100459992,100460210,
715,chr4,127861031,127861280,
716,chr10,84551748,84551967,
717,chr11,2107484,2107935,
718,chr13,53594219,53594375,
719,chr5,70555184,70555386,
720,chr9,72889177,72889364,
721,chr2,235339837,235340397,
722,chr20,46328072,46328421,
723,chr13,52053560,52053886,
724,chr9,1752937,1753123,
725,chr11,97838866,97839272,
726,chr6,113187710,113188063,
727,chr7,100856855,100857172,
728,chr7,45368191,45368450,
729,chr12,67344643,67344861,
730,chr3,173531736,173531981,
731,chr8,29799000,29799377,
732,chr9,8045554,8045879,
733,chrX,109629319,109629706,
734,chr9,69865967,69866350,
735,chr16,51816967,51817291,
736,chr3,63559833,63560211,
737,chr6,15974799,15975258,
738,chr20,46093513,46093768,
739,chr21,44756465,44756754,
740,chr18,28013078,28013392,
741,chr21,41468449,41468852,
742,chr8,606165,606401,
743,chr21,41578207,41578422,
744,chr1,49802230,49802531,
745,chr3,43902335,43902875,
746,chr7,102770569,102770853,
747,chr5,85278243,85278526,
748,chr10,106387054,106387454,
749,chr12,48725246,48725550,
750,chr2,168093285,168093457,
751,chr13,102227756,102228060,
752,chr1,233080822,233081194,
753,chr18,12141830,12142101,
754,chr8,130694842,130695137,
755,chr10,71671939,71672370,
756,chr15,95653302,95653766,
757,chr12,19705075,19705295,
758,chr14,95833496,95833777,
759,chr9,92432307,92432783,
760,chr11,95367156,95367381,
761,chrX,117996452,117996756,
762,chrX,46152796,46153226,
763,chr6,113757078,113757277,
764,chr1,161864698,161864931,
765,chr12,70180028,70180509,
766,chr4,115042608,115042866,
767,chr5,179810641,179810970,
768,chr7,139963392,139963652,
769,chr7,61026012,61026316,
770,chr1,231094545,231094821,
771,chr22,34885840,34886244,
772,chr22,48043694,48043838,
773,chr11,59131626,59131876,
774,chr1,18142865,18143348,
775,chr7,25240279,25240721,
776,chr5,102844030,102844400,
777,chr19,28009589,28010131,
778,chr9,131768246,131768434,
779,chr12,101303715,101304032,
780,chr15,47494776,47495172,
781,chr2,224844339,224844823,
782,chr7,83917849,83918165,
783,chr4,114869809,114870302,
784,chr5,65512562,65512856,
785,chr13,86108407,86108675,
786,chr8,105911676,105912097,
787,chr15,99844928,99845366,
788,chr9,133394261,133394499,
789,chrX,129239290,129239756,
790,chr8,29814757,29815034,
791,chr16,64240629,64240833,
792,chr4,27149987,27150246,
793,chr11,76558916,76559219,
794,chr6,156113708,156114066,
795,chr15,39049636,39049905,
796,chr2,81747567,81747785,
797,chr18,73950287,73950710,
798,chr5,116389646,116389914,
799,chr12,19625605,19625942,
800,chr8,37053102,37053581,
801,chr20,45441763,45442341,
802,chr1,57005151,57005709,
803,chr15,39205490,39205835,
804,chr20,52446821,52447262,
805,chr12,11615435,11615884,
806,chr15,84387310,84387569,
807,chr10,132975507,132975829,
808,chr12,118498178,118498651,
809,chr10,122519184,122519581,
810,chr3,156341465,156341615,
811,chr9,70340627,70340932,
812,chr21,28375606,28376121,
813,chr18,74314795,74315244,
814,chr13,110900439,110900762,
815,chr4,150525306,150525749,
816,chr5,144304677,144305062,
817,chr6,123594812,123595050,
818,chr2,222582964,222583232,
819,chr17,61436301,61436684,
820,chr6,151431271,151431728,
821,chr6,67535830,67536332,
822,chr7,132061862,132062324,
823,chr2,238077432,238077588,
824,chr16,22885826,22886073,
825,chr8,42828521,42828717,
826,chr18,68394771,68395071,
827,chrX,27924216,27924664,
828,chr20,18431253,18431456,
829,chr10,87257288,87257545,
830,chr4,75087819,75088293,
831,chr2,73465001,73465104,
832,chr16,65005708,65006032,
833,chr18,66024121,66024355,
834,chr16,17126362,17126544,
835,chr13,86115018,86115178,
836,chr14,95785916,95786164,
837,chr8,92990928,92991298,
838,chr13,100788558,100788896,
839,chr17,36364667,36364865,
840,chr19,33750408,33750787,
841,chr3,56144785,56145250,
842,chr2,227272413,227272665,
843,chr2,78147322,78147858,
844,chrX,151697456,151697984,
845,chr13,32475355,32475810,
846,chr8,69111609,69111986,
847,chr4,104906250,104906772,
848,chr19,39511816,39512375,
849,chr22,48838961,48839133,
850,chr6,19516312,19516429,
851,chr2,5661404,5661683,
852,chr1,86208180,86208492,
853,chr16,84416425,84416607,
854,chr22,49264256,49264505,
855,chr19,1047605,1047956,
856,chr3,73068470,73068769,
857,chr4,148120255,148120581,
858,chr12,81820295,81820687,
859,chr8,61158321,61158747,
860,chr5,160653978,160654108,
861,chr20,52160748,52161335,
862,chr1,144097792,144098237,
863,chr5,20660659,20660881,
864,chr1,168745043,168745419,
865,chr12,107530724,107531072,
866,chr5,2840657,2840848,
867,chr20,54614359,54614659,
868,chr15,80612508,80612842,
869,chr12,5390105,5390583,
870,chr21,9355392,9355545,
871,chr16,47872171,47872561,
872,chrX,31555476,31555850,
873,chr7,65048964,65049422,
874,chr21,28781625,28781996,
875,chr2,176062232,176062580,
876,chr6,344935,345314,
877,chr8,61745131,61745492,
878,chr5,83911301,83911602,
879,chr5,151637607,151638164,
880,chr4,87967132,87967603,
881,chr10,95064201,95064363,
882,chr9,116072002,116072487,
883,chr12,84818466,84818939,
884,chr10,113643173,113643451,
885,chr6,104668343,104668446,
886,chr3,63727256,63727636,
887,chrX,120824092,120824359,
888,chr19,46313935,46314222,
889,chr1,111907296,111907720,
890,chr13,103568335,103568693,
891,chr5,69032067,69032328,
892,chr6,128306144,128306454,
893,chr16,70605260,70605504,
894,chr1,55840374,55840748,
895,chr3,142916710,142916942,
896,chr6,38420234,38420574,
897,chr4,86013658,86013977,
898,chr10,18198495,18198964,
899,chr18,73861808,73862258,
900,chr16,18265111,18265537,
901,chr5,37807702,37808282,
902,chr1,202516348,202516581,
903,chr2,89556318,89556602,
904,chr14,35557458,35557721,
905,chr9,107651105,107651329,
906,chr7,158173663,158173803,
907,chr15,39979739,39979908,
908,chr15,50744720,50744982,
909,chr2,176938610,176938782,
910,chr6,33152310,33152582,
911,chr4,130850048,130850533,
912,chr3,144130171,144130595,
913,chr7,108541585,108541889,
914,chr14,34568933,34569289,
915,chr4,26400233,26400450,
916,chr2,155169375,155169670,
917,chrX,142006129,142006327,
918,chr6,45641162,45641487,
919,chr15,66094469,66094940,
920,chr8,62421782,62422107,
921,chr6,133547103,133547364,
922,chr1,214775904,214776222,
923,chr4,124491421,124491689,
924,chr16,23288806,23289043,
925,chr3,67875366,67875761,
926,chr6,41868947,41869392,
927,chr21,14767925,14768350,
928,chr16,76741706,76741916,
929,chr7,80070488,80070680,
930,chr18,63997560,63998071,
931,chr10,111333420,111333713,
